LocationID,Borough,Zone,service_zone,NTA Code,Boro Name,Boro CD,Total Population,#Population +65 Years,%Population +65 Years,% 65+ Below Poverty,% Hispanic/Latino,% White,% African American,% Asian,% Other
1,EWR,Newark Airport,EWR,,,,,,,,,,,,
2,Queens,Jamaica Bay,Boro Zone,,,,,,,,,,,,
3,Bronx,Allerton/Pelham Gardens,Boro Zone,BX31,Bronx,211,"31,993","6,274",19.6,11.7,36.3,21,31,9.8,1.8%
4,Manhattan,Alphabet City,Yellow Zone,MN28,Manhatta,103,"68,404","13,475",19.7,34,39.4,23.3,11.4,23.6,2.4%
5,Staten Island,Arden Heights,Boro Zone,SI48,Staten Isla,503,"26,982","3,990",14.8,9.7,13.4,77.5,1.6,6.1,1.4%
6,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,SI14,Staten Isla,502,"16,292","2,415",14.8,11.5,14.6,62.8,7.2,12.7,2.7%
7,Queens,Astoria,Boro Zone,QN70,Queens,401,"74,767","9,731",13,16.7,26.4,50.3,3.6,16.7,3.0%
8,Queens,Astoria Park,Boro Zone,,,,,,,,,,,,
9,Queens,Auburndale,Boro Zone,QN48,Queens,411,"20,588","3,982",19.3,9.9,13.6,32.8,1.1,49.9,2.6%
10,Queens,Baisley Park,Boro Zone,QN76,Queens,412,"39,203","4,595",11.7,7.5,12.3,1,68.5,7.1,11.1%
11,Brooklyn,Bath Beach,Boro Zone,BK27,Brooklyn,311,"33,020","5,154",15.6,18.7,18.1,41.2,1.1,37.1,2.5%
12,Manhattan,Battery Park,Yellow Zone,,,,,,,,,,,,
13,Manhattan,Battery Park City,Yellow Zone,MN25,Manhatta,101,"45,680","3,188",7,17,7.4,66.5,2.4,19.9,3.9%
14,Brooklyn,Bay Ridge,Boro Zone,BK31,Brooklyn,310,"79,187","12,958",16.4,14.1,18.2,60.7,2.8,15.5,2.8%
15,Queens,Bay Terrace/Fort Totten,Boro Zone,QN47,Queens,407,"22,700","5,810",25.6,9.4,12.6,57.2,0.8,27.4,1.9%
16,Queens,Bayside,Boro Zone,QN46,Queens,411,"43,212","8,712",20.2,8.1,11.5,39.7,2.4,45.1,1.3%
17,Brooklyn,Bedford,Boro Zone,BK75,Brooklyn,303,"77,847","6,540",8.4,27.3,20.6,37.8,36.6,3.2,1.9%
18,Bronx,Bedford Park,Boro Zone,BX05,Bronx,207,"57,685","4,993",8.7,30,75,4.2,15.6,3.8,1.5%
19,Queens,Bellerose,Boro Zone,QN43,Queens,413,"27,733","4,196",15.1,10.3,21.1,25.5,7.9,41.7,3.8%
20,Bronx,Belmont,Boro Zone,BX06,Bronx,206,"29,115","2,197",7.5,28.9,61,18.2,16.3,2.1,2.4%
21,Brooklyn,Bensonhurst East,Boro Zone,BK29,Brooklyn,311,"65,502","10,548",16.1,26,13.5,42.1,1,41,2.4%
22,Brooklyn,Bensonhurst West,Boro Zone,BK28,Brooklyn,311,"90,847","13,801",15.2,20.7,16.8,38.6,0.9,41.9,1.8%
23,Staten Island,Bloomfield/Emerson Hill,Boro Zone,SI05,Staten Isla,502,"41,936","7,233",17.2,10.7,14.9,58.9,4.1,19.4,2.7%
24,Manhattan,Bloomingdale,Yellow Zone,MN09,Manhatta,109,"53,094","7,812",14.7,17,23.2,44.4,13.8,15.5,3.1%
25,Brooklyn,Boerum Hill,Boro Zone,BK38,Brooklyn,302,"45,607","3,994",8.8,23.3,19.1,44.5,20.3,11.8,4.4%
26,Brooklyn,Borough Park,Boro Zone,BK88,Brooklyn,312,"102,494","11,183",10.9,21.1,8.6,76.7,1,12.9,0.8%
27,Queens,Breezy Point/Fort Tilden/Riis Beach,Boro Zone,QN10,Queens,414,"27,894","5,585",20,11.2,13.6,75.6,5.8,2.8,2.2%
28,Queens,Briarwood/Jamaica Hills,Boro Zone,QN35,Queens,408,"43,476","5,947",13.7,15.4,26.5,15.7,11.6,40.1,6.1%
29,Brooklyn,Brighton Beach,Boro Zone,BK19,Brooklyn,313,"34,431","8,875",25.8,40.7,10.7,71.2,0.7,13.8,3.6%
30,Queens,Broad Channel,Boro Zone,QN10,Queens,414,"27,894","5,585",20,11.2,13.6,75.6,5.8,2.8,2.2%
31,Bronx,Bronx Park,Boro Zone,,,,,,,,,,,,
32,Bronx,Bronxdale,Boro Zone,BX07,Bronx,211,"39,423","4,780",12.1,23.2,54.9,13.9,26.1,2.9,2.2%
33,Brooklyn,Brooklyn Heights,Boro Zone,BK09,Brooklyn,302,"24,168","3,512",14.5,10.6,7.3,72.6,5.8,9.3,5.1%
34,Brooklyn,Brooklyn Navy Yard,Boro Zone,,,,,,,,,,,,
35,Brooklyn,Brownsville,Boro Zone,BK81,Brooklyn,316,"52,174","6,473",12.4,32.8,23,1,72.9,1.6,1.5%
36,Brooklyn,Bushwick North,Boro Zone,BK77,Brooklyn,304,"57,051","4,140",7.3,31.4,62.1,19.1,10,6.5,2.3%
37,Brooklyn,Bushwick South,Boro Zone,BK78,Brooklyn,304,"72,925","7,738",10.6,39.8,50,18.8,24.9,4.1,2.2%
38,Queens,Cambria Heights,Boro Zone,QN33,Queens,413,"21,207","4,168",19.7,6.5,6.6,0.9,89.8,0.4,2.3%
39,Brooklyn,Canarsie,Boro Zone,BK50,Brooklyn,318,"88,522","11,725",13.2,11.7,7.1,4.7,83.7,2.9,1.6%
40,Brooklyn,Carroll Gardens,Boro Zone,BK33,Brooklyn,306,"43,766","4,815",11,23.8,17.3,59.3,11.9,5.9,5.7%
41,Manhattan,Central Harlem,Boro Zone,MN11,Manhatta,110,"51,064","5,149",10.1,36.2,20.5,21,49.6,5.7,3.2%
42,Manhattan,Central Harlem North,Boro Zone,MN03,Manhatta,110,"86,117","9,137",10.6,26.3,25.8,10.1,58.7,2.1,3.3%
43,Manhattan,Central Park,Yellow Zone,,,,,,,,,,,,
44,Staten Island,Charleston/Tottenville,Boro Zone,SI11,Staten Isla,503,"24,275","2,778",11.4,8.4,9.8,85.5,0.9,3.3,0.6%
45,Manhattan,Chinatown,Yellow Zone,MN27,Manhatta,103,"44,062","9,648",21.9,38.8,15.2,18.3,5.3,57.7,3.4%
46,Bronx,City Island,Boro Zone,BX10,Bronx,210,"26,877","5,375",20,12.2,41.4,49.4,4.3,3.7,1.1%
47,Bronx,Claremont/Bathgate,Boro Zone,BX01,Bronx,203,"35,560","2,692",7.6,42.1,60.6,1,37.3,0.1,1.0%
48,Manhattan,Clinton East,Yellow Zone,MN15,Manhatta,104,"49,758","6,597",13.3,22,21.1,52.8,5.5,17.5,3.2%
49,Brooklyn,Clinton Hill,Boro Zone,BK69,Brooklyn,302,"38,930","3,766",9.7,17.8,11.4,44.8,33.5,6.4,3.9%
50,Manhattan,Clinton West,Yellow Zone,MN15,Manhatta,104,"49,758","6,597",13.3,22,21.1,52.8,5.5,17.5,3.2%
51,Bronx,Co-Op City,Boro Zone,BX13,Bronx,210,"47,400","11,354",24,15.2,28.3,6.6,59.2,2.3,3.6%
52,Brooklyn,Cobble Hill,Boro Zone,BK33,Brooklyn,306,"43,766","4,815",11,23.8,17.3,59.3,11.9,5.9,5.7%
53,Queens,College Point,Boro Zone,QN23,Queens,407,"24,795","3,568",14.4,14.1,40.5,25.6,2,29.4,2.5%
54,Brooklyn,Columbia Street,Boro Zone,BK33,Brooklyn,306,"43,766","4,815",11,23.8,17.3,59.3,11.9,5.9,5.7%
55,Brooklyn,Coney Island,Boro Zone,BK21,Brooklyn,313,"32,259","6,409",19.9,42.8,27.9,31.7,29.2,8.7,2.4%
56,Queens,Corona,Boro Zone,QN25,Queens,404,"58,498","6,111",10.4,24.4,63.9,6.5,13,15,1.6%
57,Queens,Corona,Boro Zone,QN26,Queens,403,"54,146","3,626",6.7,19.9,88,1.1,3.2,7,0.6%
58,Bronx,Country Club,Boro Zone,BX10,Bronx,210,"26,877","5,375",20,12.2,41.4,49.4,4.3,3.7,1.1%
59,Bronx,Crotona Park,Boro Zone,,,,,,,,,,,,
60,Bronx,Crotona Park East,Boro Zone,BX75,Bronx,203,"22,103","2,353",10.6,36.8,67.6,0.8,29.6,1.6,0.5%
61,Brooklyn,Crown Heights North,Boro Zone,BK61,Brooklyn,308,"109,987","12,314",11.2,27.4,12.4,16.8,64.8,3,3.0%
62,Brooklyn,Crown Heights South,Boro Zone,BK63,Brooklyn,309,"40,451","4,988",12.3,12.2,6.2,32.8,57.2,1.2,2.7%
63,Brooklyn,Cypress Hills,Boro Zone,BK83,Brooklyn,305,"49,063","4,220",8.6,21.5,60.8,3.2,25.2,8,2.8%
64,Queens,Douglaston,Boro Zone,QN45,Queens,411,"25,633","6,310",24.6,6.7,10,46,1,40.4,2.6%
65,Brooklyn,Downtown Brooklyn/MetroTech,Boro Zone,BK38,Brooklyn,302,"45,607","3,994",8.8,23.3,19.1,44.5,20.3,11.8,4.4%
66,Brooklyn,DUMBO/Vinegar Hill,Boro Zone,BK38,Brooklyn,302,"45,607","3,994",8.8,23.3,19.1,44.5,20.3,11.8,4.4%
67,Brooklyn,Dyker Heights,Boro Zone,BK30,Brooklyn,310,"43,888","7,429",16.9,16.6,13.7,43.7,0.9,40.4,1.3%
68,Manhattan,East Chelsea,Yellow Zone,MN13,Manhatta,104,"76,863","10,144",13.2,11.7,13.9,62.4,5.3,15.6,2.7%
69,Bronx,East Concourse/Concourse Village,Boro Zone,BX14,Bronx,204,"64,850","7,727",11.9,30.8,63.3,1.6,31.2,1.4,2.6%
70,Queens,East Elmhurst,Boro Zone,QN27,Queens,403,"19,790","2,826",14.3,17.3,60.7,5.3,21.6,11.1,1.3%
71,Brooklyn,East Flatbush/Farragut,Boro Zone,BK91,Brooklyn,317,"51,922","8,788",16.9,11.5,6.4,2.1,87.9,1.8,1.7%
72,Brooklyn,East Flatbush/Remsen Village,Boro Zone,BK96,Brooklyn,317,"54,666","8,775",16.1,13.6,8,1.4,88.1,0.8,1.6%
73,Queens,East Flushing,Boro Zone,QN52,Queens,407,"25,677","4,731",18.4,23.7,17.8,15,1.1,64.2,1.8%
74,Manhattan,East Harlem North,Boro Zone,MN34,Manhatta,111,"62,810","7,507",12,39.5,47.7,7.8,37.5,4.5,2.4%
75,Manhattan,East Harlem South,Boro Zone,MN33,Manhatta,111,"59,869","8,434",14.1,28.4,44,19.7,23.4,11.1,1.8%
76,Brooklyn,East New York,Boro Zone,BK82,Brooklyn,305,"96,755","10,320",10.7,25.3,28.9,1.9,64.8,2.4,1.9%
77,Brooklyn,East New York/Pennsylvania Avenue,Boro Zone,BK85,Brooklyn,305,"29,063","2,950",10.2,25.5,23.1,1.7,72.3,0.9,2.1%
78,Bronx,East Tremont,Boro Zone,BX17,Bronx,206,"44,057","5,195",11.8,37,68.8,1.4,28.3,0.7,0.9%
79,Manhattan,East Village,Yellow Zone,MN22,Manhatta,103,"42,529","4,548",10.7,17.4,12.4,64.9,6.7,13.7,2.3%
80,Brooklyn,East Williamsburg,Boro Zone,BK90,Brooklyn,301,"36,038","4,537",12.6,29.7,29.4,44.3,8.4,15,2.9%
81,Bronx,Eastchester,Boro Zone,BX03,Bronx,212,"37,887","4,939",13,11.7,24.6,3.1,66,4.2,2.2%
82,Queens,Elmhurst,Boro Zone,QN29,Queens,404,"81,745","10,898",13.3,18.7,44.7,6,1.7,45.6,2.1%
83,Queens,Elmhurst/Maspeth,Boro Zone,QN50,Queens,402,"24,234","3,458",14.3,9,27,12.9,0.8,57.8,1.6%
84,Staten Island,Eltingville/Annadale/Prince's Bay,Boro Zone,SI01,Staten Isla,503,"28,976","5,354",18.5,5.2,7.3,86.8,0.9,3.9,1.0%
85,Brooklyn,Erasmus,Boro Zone,BK95,Brooklyn,317,"28,689","3,903",13.6,18.4,8.7,6.4,81.4,1.4,2.1%
86,Queens,Far Rockaway,Boro Zone,QN15,Queens,414,"56,522","7,310",12.9,22.3,25.7,27,42.3,3.4,1.6%
87,Manhattan,Financial District North,Yellow Zone,MN25,Manhatta,101,"45,680","3,188",7,17,7.4,66.5,2.4,19.9,3.9%
88,Manhattan,Financial District South,Yellow Zone,MN25,Manhatta,101,"45,680","3,188",7,17,7.4,66.5,2.4,19.9,3.9%
89,Brooklyn,Flatbush/Ditmas Park,Boro Zone,BK42,Brooklyn,314,"106,883","12,346",11.6,23.1,18.7,24,44,10.1,3.2%
90,Manhattan,Flatiron,Yellow Zone,MN13,Manhatta,104,"76,863","10,144",13.2,11.7,13.9,62.4,5.3,15.6,2.7%
91,Brooklyn,Flatlands,Boro Zone,BK58,Brooklyn,318,"72,186","10,917",15.1,7.1,9.4,16,67.7,4.9,2.1%
92,Queens,Flushing,Boro Zone,QN22,Queens,407,"70,219","13,135",18.7,31.4,14.6,7.7,3.8,71.6,2.3%
93,Queens,Flushing Meadows-Corona Park,Boro Zone,,,,,,,,,,,,
94,Bronx,Fordham South,Boro Zone,BX40,Bronx,205,"28,164","1,853",6.6,43.8,71.6,0.7,25.3,0.4,1.9%
95,Queens,Forest Hills,Boro Zone,QN17,Queens,406,"88,313","17,622",20,13.8,15.8,49.9,2.4,27.5,4.4%
96,Queens,Forest Park/Highland Park,Boro Zone,,,,,,,,,,,,
97,Brooklyn,Fort Greene,Boro Zone,BK68,Brooklyn,302,"32,193","3,796",11.8,22,17.2,31.2,36.5,9.2,5.9%
98,Queens,Fresh Meadows,Boro Zone,QN41,Queens,408,"18,699","3,155",16.9,11.2,11.7,29.6,5.8,49.3,3.7%
99,Staten Island,Freshkills Park,Boro Zone,,,,,,,,,,,,
100,Manhattan,Garment District,Yellow Zone,MN17,Manhatta,105,"27,875","4,011",14.4,15.1,9.8,61.5,4.5,20.8,3.3%
